FIPS,County,Number,Engineer,Geologist
13001,Appling,1,Broska,Tipton
13003,Atkinson,2,Broska,
13005,Bacon,3,Teslim,Tipton
13007,Baker,4,Nelson,
13009,Baldwin,5,Nelson,Perkins
13011,Banks,6,Broska,Anderson
13013,Barrow,7,Nelson,Guentert
13015,Bartow,8,Broska,Perkins
13017,Ben Hill,9,Teslim,Guentert
13019,Berrien,10,Teslim,DuBose
13021,Bibb,11,Teslim,Anderson
13023,Bleckley,12,Nelson,Tipton
13025,Brantley,13,Broska,Anderson
13027,Brooks,14,Nelson,Guentert
13029,Bryan,15,Teslim,Tipton
13031,Bulloch,16,Nelson,
13033,Burke,17,Nelson,Anderson
13035,Butts,18,Broska,Perkins
13037,Calhoun,19,Teslim,Guentert
13039,Camden,20,Broska,Tipton
13043,Candler,21,Nelson,Guentert
13045,Carroll,22,Teslim,Guentert
13047,Catoosa,23,Broska,Guentert
13049,Charlton,24,Broska,Tipton
13051,Chatham,25,Broska,Perkins
13053,Chattahoochee,26,Teslim,Tipton
13055,Chattooga,27,Nelson,
13057,Cherokee,28,Broska,Guentert
13059,Clarke,29,Broska,Tipton
13061,Clay,30,Broska,Tipton
13063,Clayton,31,Teslim,
13065,Clinch,32,Teslim,
13067,Cobb,33,Broska,Perkins
13069,Coffee,34,Nelson,Guentert
13071,Colquitt,35,Nelson,
13073,Columbia,36,Broska,
13075,Cook,37,Teslim,Guentert
13077,Coweta,38,Teslim,Anderson
13079,Crawford,39,Broska,DuBose
13081,Crisp,40,Teslim,Guentert
13083,Dade,41,Broska,DuBose
13085,Dawson,42,Teslim,Perkins
13087,Decatur,43,Teslim,Anderson
13089,DeKalb,44,Teslim,Perkins
13091,Dodge,45,Nelson,Perkins
13093,Dooly,46,Nelson,Tipton
13095,Dougherty,47,Teslim,
13097,Douglas,48,Nelson,
13099,Early,49,Broska,DuBose
13101,Echols,50,Teslim, 
13103,Effingham,51,Broska,Anderson
13105,Elbert,52,Teslim,Perkins
13107,Emanuel,53,Nelson,DuBose
13109,Evans,54,Nelson,
13111,Fannin,55,Teslim,Guentert
13113,Fayette,56,Broska,
13115,Floyd,57,Broska,Anderson
13117,Forsyth,58,Broska,DuBose
13119,Franklin,59,Nelson,Guentert
13121,Fulton,60,Teslim,Tipton
13123,Gilmer,61,Broska,
13125,Glascock,62,Nelson,
13127,Glynn,63,Teslim,DuBose
13129,Gordon,64,Broska,Tipton
13131,Grady,65,Teslim,Anderson
13133,Greene,66,Nelson,Tipton
13135,Gwinnett,67,Teslim,Anderson
13137,Habersham,68,Nelson,
13139,Hall,69,Broska,Anderson
13141,Hancock,70,Nelson,DuBose
13143,Haralson,71,Broska,
13145,Harris,72,Nelson,
13147,Hart,73,Teslim,Guentert
13149,Heard,74,Broska,DuBose
13151,Henry,75,Broska,Perkins
13153,Houston,76,Broska,
13155,Irwin,77,Nelson,Guentert
13157,Jackson,78,Teslim,Anderson
13159,Jasper,79,Broska,DuBose
13161,Jeff Davis,80,Nelson,Anderson
13163,Jefferson,81,Teslim,
13165,Jenkins,82,Broska,DuBose
13167,Johnson,83,Nelson,
13169,Jones,84,Teslim,Anderson
13171,Lamar,85,Broska,
13173,Lanier,86,Nelson,Anderson
13175,Laurens,87,Nelson,
13177,Lee,88,Teslim,Guentert
13179,Liberty,89,Nelson,Tipton
13181,Lincoln,90,Nelson,Perkins
13183,Long,91,Teslim, 
13185,Lowndes,92,Broska,Anderson
13187,Lumpkin,93,Nelson,Anderson
13189,McDuffie,94,Broska,Tipton
13191,McIntosh,95,Teslim,Perkins
13193,Macon,96,Nelson,DuBose
13195,Madison,97,Teslim,Tipton
13197,Marion,98,Nelson,Anderson
13199,Meriwether,99,Teslim,Tipton
13201,Miller,100,Teslim,DuBose
13205,Mitchell,101,Nelson,Anderson
13207,Monroe,102,Teslim,Anderson
13209,Montgomery,103,Teslim, 
13211,Morgan,104,Broska,Anderson
13213,Murray,105,Nelson,DuBose
13215,Muscogee,106,Nelson,
13217,Newton,107,Teslim,Perkins
13219,Oconee,108,Nelson,DuBose
13221,Oglethorpe,109,Teslim,Perkins
13223,Paulding,110,Broska,Anderson
13225,Peach,111,Teslim,Tipton
13227,Pickens,112,Teslim,
13229,Pierce,113,Broska,Anderson
13231,Pike,114,Nelson,Tipton
13233,Polk,115,Teslim,Anderson
13235,Pulaski,116,Nelson,Perkins
13237,Putnam,117,Broska,DuBose
13239,Quitman,118,Nelson,Tipton
13241,Rabun,119,Teslim,DuBose
13243,Randolph,120,Broska,DuBose
13245,Richmond,121,Broska,DuBose
13247,Rockdale,122,Teslim,Guentert
13249,Schley,123,Nelson,Tipton
13251,Screven,124,Broska,Anderson
13253,Seminole,125,Nelson,Tipton
13255,Spalding,126,Nelson,
13257,Stephens,127,Nelson,DuBose
13259,Stewart,128,Teslim,Tipton
13261,Sumter,129,Teslim,Tipton
13263,Talbot,130,Broska,Tipton
13265,Taliaferro,131,Nelson,
13267,Tattnall,132,Teslim,Guentert
13269,Taylor,133,Teslim,Perkins
13271,Telfair,134,Teslim,Guentert
13273,Terrell,135,Nelson,DuBose
13275,Thomas,136,Broska,Tipton
13277,Tift,137,Teslim,DuBose
13279,Toombs,138,Nelson,DuBose
13281,Towns,139,Broska,Guentert
13283,Treutlen,140,Nelson,Tipton
13285,Troup,141,Nelson,Perkins
13287,Turner,142,Teslim,Guentert
13289,Twiggs,143,Broska,Dubose
13291,Union,144,Teslim,Guentert
13293,Upson,145,Teslim,Tipton
13295,Walker,146,Broska,DuBose
13297,Walton,147,Teslim,Perkins
13299,Ware,148,Teslim,Anderson
13301,Warren,149,Broska,Perkins
13303,Washington,150,Nelson,DuBose
13305,Wayne,151,Nelson,
13307,Webster,152,Broska,DuBose
13309,Wheeler,153,Broska,Perkins
13311,White,154,Teslim,Guentert
13313,Whitfield,155,Broska,
13315,Wilcox,156,Nelson,DuBose
13317,Wilkes,157,Nelson,DuBose
13319,Wilkinson,158,Broska,Guentert
13321,Worth,159,Teslim,Guentert